frame,fps,vehicles,people
1,2.641645284368816,14,6
2,58.91041883198966,13,6
3,53.55752483591695,14,7
4,61.82823786078599,14,7
5,57.09254747158511,13,7
6,50.687065704721505,13,8
7,48.56092252118742,12,8
8,48.099264916686735,14,8
9,51.28388721786125,13,8
10,54.66315652287241,13,7
11,61.92134167946144,12,8
12,55.194020423202446,12,7
13,55.92330768923081,12,8
14,46.52015838333648,11,8
15,51.63936323455179,12,8
16,60.21454002526703,14,7
17,66.33932779754844,14,7
18,57.84129961110958,15,7
19,67.84484487722817,15,7
20,69.0204545080551,13,6
21,64.37128211424537,13,7
22,48.50308181555363,13,7
23,60.43839880111819,12,7
24,58.26555163504015,12,7
25,66.35821981742528,13,7
26,59.11050354440013,13,6
27,28.964187556108005,13,6
28,57.23199519689982,14,6
29,48.04637043655567,15,6
30,67.96027026589108,13,6
31,66.70861232604373,14,6
32,56.71733986017769,14,7
33,55.776060851873034,14,7
34,67.28650036095291,14,6
35,59.76665051725612,14,5
36,52.476684975039724,15,7
37,47.20338525254344,14,6
38,63.585707138850566,14,6
39,62.98604916580319,14,7
40,59.391739001146966,14,7
41,55.70642689227418,14,8
42,52.095389507154216,14,8
43,58.71497165255127,14,7
44,67.90525685236453,14,7
45,59.23656187328758,14,8
46,64.66304884065121,13,8
47,65.03805241122654,14,7
48,60.46279371486233,14,7
49,71.17675807765409,13,7
50,65.55956046704284,13,7
51,61.05690370478201,12,7
52,60.05331958821929,12,7
53,61.15750488466362,13,6
54,73.11480667991493,11,6
55,61.51449020298017,10,6
56,50.50761653601146,12,6
57,51.80519496560157,12,7
58,62.2420348138365,12,7
59,60.48895298528988,14,5
60,48.807298454663936,12,6
61,72.92158976320457,10,6
62,66.90440414094527,14,6
63,71.68035000170899,11,6
64,71.88304855267442,12,5
65,63.920021945197966,11,6
66,67.69920103300782,13,7
67,65.85705313402839,15,6
68,62.16546613309619,14,6
69,68.26777779586256,14,6
70,57.853266941612986,14,7
71,62.77206740698614,15,7
72,57.04595715742945,17,5
73,65.53088039996875,17,6
74,65.01587301587301,16,6
75,57.117426769980796,15,6
76,64.16252103411351,15,6
77,57.58717082681165,15,6
78,48.78118676001954,14,6
79,56.445610776912,14,6
80,57.795868873241375,14,6
81,57.04673303955171,14,6
82,61.10048655420564,13,6
83,67.67516982106265,12,6
84,49.5113440517506,14,6
85,57.5974512846569,15,6
86,54.067031040528,15,6
87,61.42800234329233,15,6
88,54.62755926022402,14,6
89,55.77976966247307,14,6
90,56.18174024860694,14,7
91,65.49608832117929,14,6
92,58.03337299720508,14,6
93,44.53828592059295,15,7
94,56.816450380645335,13,5
